
Episode 1493, Reward: 900.0, MovingAvg(100): 672.80, avgMovingReward: 706.2, Epsilon: 0.0500, Actor_Loss: 4.7201, Critic_Loss: 1894.4258, Entropy: 2.0398

Episode 1494, Reward: 330.0, MovingAvg(100): 667.80, avgMovingReward: 668.6, Epsilon: 0.0500, Actor_Loss: -8.8906, Critic_Loss: 504.3458, Entropy: 2.0421

Episode 1495, Reward: 280.0, MovingAvg(100): 664.90, avgMovingReward: 629.7, Epsilon: 0.0500, Actor_Loss: 68.1600, Critic_Loss: 5304.9363, Entropy: 2.0434

Episode 1496, Reward: 230.0, MovingAvg(100): 662.90, avgMovingReward: 589.8, Epsilon: 0.0500, Actor_Loss: 14.9386, Critic_Loss: 395.7194, Entropy: 2.0520

Episode 1497, Reward: 580.0, MovingAvg(100): 650.20, avgMovingReward: 588.8, Epsilon: 0.0500, Actor_Loss: 13.6404, Critic_Loss: 812.0834, Entropy: 2.0711

Episode 1498, Reward: 1180.0, MovingAvg(100): 657.10, avgMovingReward: 647.9, Epsilon: 0.0500, Actor_Loss: -225.9011, Critic_Loss: 79550.0188, Entropy: 2.0817

Episode 1499, Reward: 540.0, MovingAvg(100): 655.00, avgMovingReward: 637.1, Epsilon: 0.0500, Actor_Loss: 32.3123, Critic_Loss: 2569.8676, Entropy: 2.0654

Episode 1500, Reward: 710.0, MovingAvg(100): 656.80, avgMovingReward: 644.4, Epsilon: 0.0500, Actor_Loss: -6.0093, Critic_Loss: 1857.5764, Entropy: 2.0598

Episode 1501, Reward: 350.0, MovingAvg(100): 651.70, avgMovingReward: 615.0, Epsilon: 0.0500, Actor_Loss: 48.0800, Critic_Loss: 3639.7062, Entropy: 2.0440

Episode 1502, Reward: 830.0, MovingAvg(100): 657.80, avgMovingReward: 636.5, Epsilon: 0.0500, Actor_Loss: 33.6193, Critic_Loss: 1701.4021, Entropy: 2.0427

Episode 1503, Reward: 970.0, MovingAvg(100): 661.10, avgMovingReward: 669.8, Epsilon: 0.0500, Actor_Loss: 63.8373, Critic_Loss: 5184.2728, Entropy: 2.0320

Episode 1504, Reward: 560.0, MovingAvg(100): 662.90, avgMovingReward: 658.8, Epsilon: 0.0500, Actor_Loss: -22.5123, Critic_Loss: 2203.6516, Entropy: 2.0418

Episode 1505, Reward: 520.0, MovingAvg(100): 661.00, avgMovingReward: 645.0, Epsilon: 0.0500, Actor_Loss: 52.6151, Critic_Loss: 3923.4278, Entropy: 2.0352

Episode 1506, Reward: 240.0, MovingAvg(100): 652.50, avgMovingReward: 604.5, Epsilon: 0.0500, Actor_Loss: 6.4026, Critic_Loss: 752.0369, Entropy: 2.0323

Episode 1507, Reward: 340.0, MovingAvg(100): 645.60, avgMovingReward: 578.0, Epsilon: 0.0500, Actor_Loss: 46.7691, Critic_Loss: 2760.6680, Entropy: 2.0453

Episode 1508, Reward: 610.0, MovingAvg(100): 646.20, avgMovingReward: 581.2, Epsilon: 0.0500, Actor_Loss: 16.4380, Critic_Loss: 819.4750, Entropy: 2.0478

